,Avg DWPDEP(C),Min DWPDEP(C),Max DWPDEP(C),Avg LCLD(%),Min LCLD(%),Max LCLD(%),Avg MCLD(%),Min MCLD(%),Max MCLD(%),Avg HCLD(%),Min HCLD(%),Max HCLD(%),Avg PRES(hPa),Min PRES(hPa),Max PRES(hPa)
2010-01-01 12:00:00,3.53,2.4800000000000004,4.949999999999999,36.0,2.0,100.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,1000.7222222222222,999.8,1002.0
2010-01-02 12:00:00,3.1944444444444446,2.58,4.43,3.5555555555555554,0.0,7.0,0.2222222222222222,0.0,1.0,7.375,0.0,42.0,1000.6777777777776,999.2,1001.8
2010-01-03 12:00:00,2.1599999999999997,1.7699999999999996,3.1099999999999994,37.77777777777778,5.0,101.0,40.888888888888886,0.0,96.0,40.22222222222222,0.0,97.0,998.1111111111111,996.5,999.8
2010-01-04 12:00:00,1.8766666666666667,1.5700000000000003,2.370000000000001,96.55555555555556,76.0,100.0,16.333333333333332,0.0,67.0,26.77777777777778,0.0,94.0,996.3888888888891,995.6,997.3
2010-01-05 12:00:00,1.6244444444444446,1.2599999999999998,2.3899999999999997,77.125,1.0,100.0,37.77777777777778,0.0,100.0,36.666666666666664,0.0,100.0,994.2444444444445,991.7,996.0
2010-01-06 12:00:00,0.8622222222222223,0.6399999999999997,1.1600000000000001,99.88888888888889,99.0,100.0,61.333333333333336,5.0,100.0,42.888888888888886,0.0,100.0,988.0333333333333,985.7,992.5
2010-01-07 12:00:00,0.972222222222222,0.6900000000000004,1.42,93.77777777777777,54.0,100.0,0.8888888888888888,0.0,6.0,9.777777777777779,0.0,34.0,994.9555555555556,987.6,1000.8
2010-01-08 12:00:00,1.8788888888888893,1.4700000000000006,2.4299999999999997,51.333333333333336,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.2777777777778,1001.6,1004.9
2010-01-09 12:00:00,1.7544444444444443,1.1899999999999995,2.3000000000000007,0.3333333333333333,0.0,3.0,18.666666666666668,0.0,100.0,18.88888888888889,0.0,80.0,1001.7888888888889,994.9,1005.7
2010-01-10 12:00:00,0.9644444444444444,0.6200000000000001,1.2299999999999995,91.77777777777777,26.0,100.0,61.0,1.0,100.0,62.875,1.0,100.0,995.5555555555555,992.6,1000.2
2010-01-11 12:00:00,0.8633333333333334,0.7299999999999995,1.15,64.88888888888889,0.0,100.0,0.3333333333333333,0.0,2.0,13.5,0.0,71.0,1001.7888888888889,999.9,1003.8
2010-01-12 12:00:00,1.0755555555555558,0.7300000000000004,1.78,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,8.0,996.1111111111111,993.4,1000.3
2010-01-13 12:00:00,0.6055555555555555,0.16999999999999993,1.4000000000000004,62.44444444444444,0.0,100.0,0.2222222222222222,0.0,1.0,47.111111111111114,0.0,95.0,992.5333333333333,991.4,993.9
2010-01-14 12:00:00,0.9566666666666666,0.26,2.13,90.22222222222223,20.0,101.0,0.5,0.0,2.0,45.77777777777778,17.0,77.0,996.8000000000001,994.5,998.0
2010-01-15 12:00:00,1.4766666666666663,0.6499999999999999,3.44,1.5555555555555556,0.0,4.0,12.0,0.0,96.0,99.44444444444444,97.0,100.0,992.7888888888889,985.6,997.1
2010-01-16 12:00:00,2.5077777777777777,0.9100000000000001,4.5600000000000005,0.5714285714285714,0.0,2.0,18.88888888888889,0.0,87.0,66.44444444444444,0.0,100.0,985.1555555555556,983.2,987.1
2010-01-17 12:00:00,1.413333333333333,0.81,2.56,0.8888888888888888,0.0,4.0,58.22222222222222,0.0,100.0,55.111111111111114,0.0,100.0,987.911111111111,986.8,988.9
2010-01-18 12:00:00,1.7055555555555557,0.8199999999999998,3.24,2.888888888888889,0.0,13.0,8.0,0.0,72.0,20.0,0.0,74.0,987.8666666666668,987.3,988.6
2010-01-19 12:00:00,1.1555555555555554,0.25,2.0300000000000002,68.33333333333333,16.0,100.0,45.111111111111114,1.0,100.0,54.888888888888886,2.0,100.0,982.5888888888888,979.3,986.5
2010-01-20 12:00:00,0.4566666666666667,0.22999999999999998,0.6900000000000002,100.0,100.0,100.0,34.22222222222222,0.0,100.0,83.66666666666667,24.0,100.0,978.3000000000001,975.3,981.1
2010-01-21 12:00:00,0.6577777777777778,0.38000000000000034,1.0099999999999998,100.0,100.0,100.0,16.555555555555557,0.0,78.0,56.55555555555556,24.0,99.0,982.5666666666667,980.2,984.4
2010-01-22 12:00:00,0.601111111111111,0.3600000000000003,0.9500000000000002,100.0,100.0,100.0,62.44444444444444,3.0,100.0,98.11111111111111,89.0,100.0,978.0777777777779,966.4,985.4
2010-01-23 12:00:00,1.4233333333333331,0.8799999999999999,2.02,91.33333333333333,59.0,100.0,75.55555555555556,2.0,100.0,66.22222222222223,6.0,100.0,966.3777777777777,958.9,970.7
2010-01-24 12:00:00,2.2144444444444447,1.5699999999999998,2.98,99.44444444444444,95.0,100.0,45.333333333333336,1.0,100.0,17.0,0.0,43.0,970.7777777777778,967.8,977.2
2010-01-25 12:00:00,3.036666666666667,2.3600000000000003,3.9800000000000004,99.77777777777777,98.0,100.0,11.444444444444445,0.0,95.0,8.333333333333334,0.0,47.0,985.9666666666667,976.1,993.3
2010-01-26 12:00:00,2.92,1.3399999999999999,5.65,44.333333333333336,1.0,101.0,59.625,0.0,100.0,22.444444444444443,0.0,97.0,993.3444444444444,992.0,995.3
2010-01-27 12:00:00,3.6400000000000006,1.63,5.62,21.555555555555557,0.0,86.0,3.7777777777777777,0.0,21.0,54.44444444444444,0.0,100.0,1000.4888888888888,994.2,1004.2
2010-01-28 12:00:00,4.072222222222222,1.83,5.92,1.5555555555555556,0.0,10.0,89.66666666666667,25.0,101.0,100.0,100.0,100.0,1000.5,996.9,1003.8
2010-01-29 12:00:00,3.428888888888889,2.0599999999999987,5.89,6.875,0.0,49.0,55.0,2.0,100.0,46.44444444444444,0.0,100.0,994.3777777777777,992.8,996.7
2010-01-30 12:00:00,3.1311111111111103,0.8499999999999996,6.449999999999999,2.375,0.0,8.0,0.7777777777777778,0.0,7.0,1.5555555555555556,0.0,14.0,995.9111111111112,994.8,997.1
2010-01-31 12:00:00,2.675555555555556,1.3599999999999994,4.88,18.444444444444443,0.0,83.0,64.44444444444444,0.0,100.0,72.875,1.0,100.0,995.2999999999998,991.9,997.8
2010-02-01 12:00:00,1.9355555555555553,1.19,3.05,96.33333333333333,71.0,100.0,29.77777777777778,0.0,100.0,4.75,0.0,37.0,990.622222222222,988.4,993.3
2010-02-02 12:00:00,2.2377777777777776,1.1200000000000006,4.55,60.22222222222222,1.0,100.0,1.5555555555555556,0.0,14.0,29.77777777777778,0.0,94.0,997.2000000000002,992.7,1000.6
2010-02-03 12:00:00,1.5022222222222221,0.6899999999999995,3.41,12.666666666666666,0.0,98.0,55.77777777777778,0.0,101.0,100.0,100.0,100.0,996.4777777777776,990.0,999.8
2010-02-04 12:00:00,0.7000000000000001,0.42000000000000004,1.2400000000000002,92.0,30.0,100.0,90.44444444444444,58.0,100.0,53.55555555555556,1.0,100.0,985.7333333333333,982.0,991.3
2010-02-05 12:00:00,0.8877777777777777,0.7000000000000002,1.0599999999999996,65.33333333333333,3.0,100.0,46.888888888888886,0.0,100.0,54.44444444444444,2.0,100.0,989.3222222222222,981.4,994.5
2010-02-06 12:00:00,1.5322222222222222,0.79,3.2199999999999998,4.666666666666667,0.0,15.0,25.555555555555557,0.0,94.0,17.375,0.0,66.0,993.7111111111111,993.0,994.5
2010-02-07 12:00:00,1.2499999999999996,0.6399999999999997,1.7999999999999998,75.44444444444444,9.0,98.0,84.33333333333333,39.0,100.0,62.0,1.0,100.0,992.088888888889,988.3,994.9
2010-02-08 12:00:00,0.6555555555555557,0.5100000000000007,0.8700000000000001,100.0,100.0,100.0,98.66666666666667,90.0,100.0,27.625,0.0,100.0,982.311111111111,979.0,988.0
2010-02-09 12:00:00,0.9422222222222223,0.8200000000000003,1.08,100.0,100.0,100.0,19.375,0.0,98.0,0.0,0.0,0.0,990.1666666666666,981.9,994.6
2010-02-10 12:00:00,1.2766666666666664,0.9499999999999993,2.0999999999999996,42.666666666666664,1.0,100.0,0.6666666666666666,0.0,4.0,2.0,0.0,15.0,992.7777777777776,991.4,993.8
2010-02-11 12:00:00,1.5955555555555554,0.7799999999999994,2.74,29.666666666666668,1.0,94.0,28.22222222222222,0.0,93.0,0.7777777777777778,0.0,4.0,989.9666666666667,988.3,992.1
2010-02-12 12:00:00,1.6366666666666665,0.75,2.8000000000000003,8.222222222222221,0.0,52.0,10.222222222222221,0.0,90.0,4.888888888888889,0.0,30.0,987.2888888888889,986.3,988.4
2010-02-13 12:00:00,2.032222222222222,0.9000000000000004,3.7800000000000002,31.555555555555557,1.0,90.0,64.77777777777777,2.0,100.0,35.0,1.0,69.0,985.3666666666668,984.0,986.7
2010-02-14 12:00:00,1.267777777777778,0.9400000000000004,1.9399999999999995,97.77777777777777,84.0,100.0,67.22222222222223,1.0,100.0,16.77777777777778,0.0,99.0,982.1777777777778,980.7,983.9
2010-02-15 12:00:00,0.8955555555555554,0.5800000000000001,1.1300000000000001,100.0,100.0,100.0,11.333333333333334,0.0,90.0,0.4444444444444444,0.0,2.0,984.8000000000001,982.8,986.9
2010-02-16 12:00:00,1.0633333333333332,0.6699999999999999,1.6,99.77777777777777,98.0,100.0,0.0,0.0,0.0,6.666666666666667,0.0,39.0,987.7111111111111,986.5,989.3
2010-02-17 12:00:00,0.8177777777777778,0.5699999999999998,1.1600000000000001,74.375,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,990.3888888888889,989.0,992.0
2010-02-18 12:00:00,1.3666666666666663,0.8200000000000003,2.71,36.888888888888886,0.0,98.0,48.44444444444444,0.0,101.0,49.55555555555556,0.0,100.0,992.7222222222222,992.0,993.5
2010-02-19 12:00:00,0.8866666666666667,0.29000000000000004,1.99,93.11111111111111,48.0,101.0,58.0,3.0,100.0,64.0,2.0,100.0,991.6444444444444,990.2,993.4
2010-02-20 12:00:00,0.19999999999999998,0.1399999999999999,0.38,98.66666666666667,93.0,100.0,82.11111111111111,27.0,100.0,94.0,62.0,101.0,986.1222222222223,978.9,990.5
